순위,주차,교육과정,교과목,종합점수,준비성,전문성,전달력,열의성
810위,3월5주차,중견리더 과정(6주차),헌법,4.5655,4.5658,4.6053,4.5195,4.5714
811위,5월2주차,공직자 이해충돌 방지 과정,이해충돌방지법 제정 의의 및 사례,4.5652,4.6087,4.4783,4.5652,4.6087
811위,6월1주차,중견리더 과정(16주차),필라테스,4.5652,4.5652,4.5652,4.5652,4.5652
813위,5월1주차,중견리더 과정(11주차),라탄공예,4.5637,4.5882,4.6,4.5333,4.5333
814위,4월1주차,중견리더 과정(7주차),정리수납,4.5627,4.5769,4.6154,4.5385,4.52
815위,6월2주차,재난관리 실무 과정,국가재난시스템 및 선진재난관리기법,4.5625,4.5556,4.5,4.5833,4.6111
815위,6월4주차,중견리더 과정(19주차),영어,4.5625,4.5,4.625,4.625,4.5
815위,3월5주차,지방의회 공무원 실무역량 향상 과정,지방자치제도 및 지방의회 역할,4.5625,4.5,4.5833,4.5,4.6667
818위,5월3주차,신규공무원 역량향상 심화 과정,법률(규정) 해석,4.5622,4.5455,4.5455,4.4762,4.6818
819위,7월2주차,경남의 복지 과정,경남의 통합돌봄 사업의 이해,4.5618,4.5714,4.6429,4.4615,4.5714
820위,7월3주차,중견리더 과정(22주차),긍정적 소통을 위한 힐링매직,4.5615,4.5738,4.6066,4.541,4.5246
821위,3월3주차,기간제 근로자 관리자 과정,채용공고문 작성 및 공고 방법,4.5607,4.5333,4.6429,4.4667,4.6
822위,4월4주차,신규공무원 역량향상 심화 과정,예산실무,4.56,4.55,4.58,4.52,4.59
823위,7월4주차,공공언어 바르게 쓰기 과정,소통과 세대공감,4.5577,4.6154,4.5385,4.5385,4.5385
823위,5월4주차,미래설계 과정(1주차),고수의 여행노하우,4.5577,4.5385,4.5,4.5769,4.6154
823위,5월5주차,중견리더 과정(15주차),일본어,4.5577,4.5385,4.6154,4.5385,4.5385
826위,6월3주차,중견리더 과정(18주차),스트레스 진단과 치유,4.5575,4.5778,4.5217,4.5435,4.587
827위,7월1주차,신규공무원 역량향상 심화 과정,보조금 실무,4.5568,4.5455,4.5455,4.5455,4.5909
827위,5월5주차,중견리더 과정(15주차),필라테스,4.5568,4.5455,4.5455,4.5455,4.5909
829위,3월5주차,재난관리 실무 과정,화재대응 및 응급조치,4.5565,4.5161,4.5806,4.5806,4.5484
830위,4월1주차,건축 실무 과정,건축 감리 실무,4.5556,4.5926,4.5556,4.5556,4.5185
830위,2월3주차,교육 담당자 역량향상 과정,2025년 HRD 트렌드 공유,4.5556,4.5556,4.6667,4.4444,4.5556
830위,5월5주차,기후위기 적응·대응 과정,기후위기와 탄소중립의 이해,4.5556,4.5556,4.6111,4.5,4.5556
830위,6월2주차,중견리더 과정(17주차),미술,4.5556,4.5556,4.5556,4.5556,4.5556
830위,7월1주차,중견리더 과정(20주차),동아리 활동,4.5556,4.5556,4.5556,4.5556,4.5556
830위,4월3주차,중견리더 과정(9주차),테니스,4.5556,4.5556,4.5556,4.5556,4.5556
836위,3월4주차,경남의 교통과 미래항공 모빌리티(AAM) 산업 과정,항공 모빌리티 인프라 구축 관련법과 해결과제,4.5552,4.5,4.5625,4.625,4.5333
837위,5월3주차,가야사 바로알기 과정,세계유산 가야고분군의 이해,4.5549,4.5833,4.5455,4.5455,4.5455
837위,5월3주차,중견리더 과정(13주차),영어,4.5549,4.5833,4.5455,4.5455,4.5455
839위,3월2주차,중견리더 과정(3주차),한국사,4.5548,4.5714,4.619,4.6,4.4286
840위,2월4주차,특별사법경찰 수사실무 과정,특별사법 경찰제도 이해,4.5536,4.5,4.5714,4.5,4.6429
841위,5월2주차,중견리더 과정(12주차),사진,4.5535,4.5769,4.5,4.5769,4.56
842위,3월2주차,신규 임용(후보)자 과정(1주차),"세대공감 및 민원응대(주제선정, 사례 등)",4.5534,4.5281,4.5618,4.5618,4.5618
843위,7월2주차,6급 승진자 역량향상 과정,경남형 통합돌봄 개념과 정책의 이해,4.5526,4.6316,4.5789,4.5789,4.4211
844위,4월1주차,신규공무원 역량향상 심화 과정,예산실무,4.55,4.6,4.6,4.5667,4.4333
844위,5월3주차,신규공무원 역량향상 심화 과정,홍보템플릿 실무,4.55,4.55,4.55,4.55,4.55
844위,6월4주차,재난안전 통신망 과정,표준운영절차의 이해,4.55,4.5333,4.6,4.4667,4.6
844위,4월4주차,저수지·댐 안전관리,저수지 댐 시설물 보수보강 실무,4.55,4.6,4.5667,4.5,4.5333
848위,3월4주차,중견리더 과정(5주차),정리수납,4.5487,4.4815,4.5926,4.5556,4.5652
849위,3월3주차,신규공무원 역량향상 심화 과정,e호조 지출·회계 실무,4.5481,4.5385,4.5385,4.5769,4.5385
850위,7월1주차,중견리더 과정(20주차),"자격증(한자,한국사,정리수납)",4.5469,4.5,4.5625,4.5625,4.5625
850위,3월2주차,중견리더 과정(3주차),영어,4.5469,4.5,4.625,4.5625,4.5
850위,4월1주차,중견리더 과정(7주차),일본어,4.5469,4.5625,4.625,4.6,4.4
853위,5월1주차,중견리더 과정(11주차),탁구,4.5467,4.5714,4.5385,4.5385,4.5385
854위,3월4주차,토목실무 과정,중대재해처벌법의 이해,4.5455,4.5455,4.5909,4.5,4.5455
855위,4월3주차,시·군 팀장 리더십 과정,역량에 대한 이해,4.5455,4.5455,4.5455,4.5455,4.5455
856위,7월1주차,신규공무원 역량향상 심화 과정,엑셀실무,4.5444,4.5806,4.6129,4.4667,4.5172
857위,3월2주차,계약실무 과정,용역계약 실무,4.5441,4.5882,4.5294,4.5294,4.5294
858위,2월5주차,중견리더 과정(2주차),독서의 방법,4.5436,4.5301,4.5783,4.4756,4.5904
859위,4월1주차,신규공무원 역량향상 심화 과정,계약실무,4.5435,4.6087,4.5652,4.5652,4.4348
860위,5월1주차,중견리더 과정(11주차),인생은 숙제가 아닌 축제,4.543,4.5479,4.5205,4.5616,4.5417
861위,6월4주차,재난안전 통신망 과정,재난안전통신망 단말기 기본 조작 및 활용 방법,4.5429,4.4667,4.5714,4.5333,4.6
862위,6월3주차,중견리더 과정(18주차),인공지능속 휴먼터치,4.5418,4.5,4.5741,4.5741,4.5192
863위,5월5주차,과장급 필수 역량향상 과정,언론과의 효과적 소통 및 대응,4.5417,4.5556,4.5556,4.5556,4.5
864위,4월1주차,보조금단체 회계실무 과정,보조금단체 회계감사 사례,4.5395,4.5263,4.5789,4.4211,4.6316
865위,3월2주차,신규 임용(후보)자 과정(1주차),예산실무,4.5393,4.5506,4.6517,4.3483,4.6067
866위,2월4주차,특별사법경찰 수사실무 과정,소통을 위한 대화의 기술과 공감기법,4.5357,4.5714,4.5,4.5714,4.5
867위,3월4주차,토목실무 과정,도로공사 실무,4.5341,4.5455,4.5909,4.5909,4.4091
868위,6월2주차,신규공무원 역량향상 심화 과정,보고서 작성 실무,4.5339,4.5455,4.5758,4.4688,4.5455
869위,4월1주차,신규 임용(후보)자 과정(1주차),Open mind/팀빌딩,4.5333,4.5333,4.4889,4.5556,4.5556
870위,4월1주차,신규 임용(후보)자 과정(1주차),경남의 도정과제공유(시군정책 이해를 통한 공감경남 만들기),4.5308,4.5333,4.5111,4.5455,4.5333
871위,4월4주차,저수지·댐 안전관리,저수지 댐 안전관리 및 재해예방 법령해설,4.5296,4.5333,4.5333,4.5,4.5517
872위,4월4주차,저수지·댐 안전관리,저수지 댐 안전관리에 대한 분임토의 및 내용 작성,4.5293,4.5333,4.5333,4.5862,4.4643
873위,7월1주차,신규공무원 역량향상 심화 과정,계약실무,4.5278,4.5185,4.5556,4.5185,4.5185
873위,7월3주차,전입공무원 역량향상 과정,조직적응을 위한 소통과 대화의 기술,4.5278,4.4444,4.5926,4.4815,4.5926
873위,4월1주차,중견리더 과정(7주차),미술,4.5278,4.5556,4.5556,4.4444,4.5556
876위,2월5주차,중견리더 과정(2주차),긍정적 업무를 위한 스트레스 관리,4.5268,4.5119,4.5595,4.5119,4.5238
877위,7월2주차,6급 승진자 역량향상 과정,기획보고서 작성실무,4.5263,4.5263,4.5263,4.5263,4.5263
878위,4월1주차,중견리더 과정(7주차),일상속 건강 챙기기(슬기로운 걷기 생활),4.526,4.5065,4.5584,4.5065,4.5325
879위,7월3주차,중견리더 과정(22주차),필라테스,4.5238,4.5238,4.5238,4.5238,4.5238
880위,7월3주차,중견리더 과정(22주차),소통리더십Ⅱ,4.5236,4.5313,4.5313,4.5156,4.5161
881위,4월3주차,시·군 팀장 리더십 과정,국내 우주항공산업 전망과 경남의 미래,4.5227,4.5455,4.7273,4.2727,4.5455
882위,5월4주차,홍보실무 과정,SNS활용 홍보전략,4.5227,4.6364,4.3636,4.4545,4.6364
883위,2월5주차,7·8급 승진자 역량향상 과정,청렴 및 청탁금지법,4.5217,4.5217,4.5217,4.5217,4.5217
884위,4월4주차,중견리더 과정(10주차),영어,4.5208,4.5,4.5833,4.5,4.5
884위,6월4주차,중견리더 과정(19주차),영어,4.5208,4.3333,4.5833,4.5833,4.5833
886위,7월3주차,중견리더 과정(22주차),탁구,4.5159,4.5455,4.7,4.5455,4.2727
887위,4월1주차,중견리더 과정(7주차),필라테스,4.5135,4.5405,4.5135,4.4865,4.5135
888위,4월4주차,시·군 팀장 리더십 과정,역량교육의 이해,4.5125,4.5,4.45,4.55,4.55
889위,4월3주차,신규 임용(후보)자 과정(3주차),성찰 및 비전 수립,4.5119,4.5,4.4524,4.5238,4.5714
890위,7월1주차,신규공무원 역량향상 심화 과정,행사실무,4.5114,4.5455,4.5,4.4545,4.5455
891위,4월1주차,신규 임용(후보)자 과정(1주차),성과중심 공직가치 함양,4.5111,4.4889,4.5111,4.5111,4.5333
891위,4월1주차,신규 임용(후보)자 과정(1주차),공직가치 액션러닝(골든타임 119),4.5111,4.5556,4.5111,4.4444,4.5333
893위,3월3주차,신규 임용(후보)자 과정(2주차),현장학습(도정과제 연계),4.5104,4.5176,4.5529,4.4353,4.5357
894위,4월1주차,신규공무원 역량향상 심화 과정,보고서 작성 실무,4.5083,4.5333,4.5,4.5,4.5
895위,3월4주차,중견리더 과정(5주차),교통사고 처리요령,4.5076,4.4625,4.5432,4.4815,4.5432
896위,3월2주차,중견리더 과정(3주차),정리수납,4.5064,4.5,4.5263,4.5128,4.4865
897위,6월3주차,중견리더 과정(18주차),타로와 인문학,4.5052,4.5208,4.4792,4.4792,4.5417
898위,4월4주차,중견리더 과정(10주차),헌법,4.5035,4.5135,4.5467,4.4737,4.48
899위,4월2주차,중견리더 과정(8주차),인공지능시대 리더의 상상력과 창의성,4.5031,4.5062,4.4938,4.4938,4.5185
900위,6월1주차,"스마트 경남, 스마트 시티 과정",스마트시티 최신기술동향,4.5,4.5,4.5,4.5,4.5
900위,4월1주차,신규 임용(후보)자 과정(1주차),예산실무,4.5,4.5111,4.6222,4.2889,4.5778
900위,4월4주차,신규공무원 역량향상 심화 과정,법률(규정) 해석,4.5,4.52,4.48,4.48,4.52
900위,5월1주차,중견리더 과정(11주차),미술,4.5,4.5,4.5,4.5,4.5
900위,5월3주차,중견리더 과정(13주차),미술,4.5,4.5,4.5,4.5,4.5
900위,5월4주차,중견리더 과정(14주차),라탄공예,4.5,4.5455,4.4545,4.5455,4.4545
900위,5월5주차,중견리더 과정(15주차),영어,4.5,4.5,4.5,4.5,4.5
900위,6월1주차,중견리더 과정(16주차),영어,4.5,4.5,4.5,4.5,4.5
900위,6월2주차,중견리더 과정(17주차),영어,4.5,4.5,4.5,4.5,4.5
900위,7월1주차,중견리더 과정(20주차),헌법,4.5,4.4928,4.5072,4.5143,4.4857
900위,4월2주차,중견리더 과정(8주차),미술,4.5,4.5,4.5,4.5,4.5
900위,4월4주차,지역특화 관광콘텐츠 개발 과정,관광콘텐츠 기획 실제,4.5,4.5,4.5,4.5,4.5
900위,3월4주차,토목실무 과정,부동산PF사업의 이해,4.5,4.5455,4.5455,4.3636,4.5455
900위,7월2주차,투자유치 활성화 과정,투자유치를 위한 실천방안 토의,4.5,4.5,4.5,4.5,4.5
900위,4월1주차,행사 실무 과정,행사진행·행사 사례 및 의전,4.5,4.5,4.625,4.4375,4.4375
915위,7월1주차,중견리더 과정(20주차),외국어,4.4975,4.5455,4.6,4.4,4.4444
916위,7월3주차,전입공무원 역량향상 과정,보고서 작성 실무,4.4964,4.4444,4.6154,4.4444,4.4815
917위,5월3주차,재난관리 실무 과정,국가재난 시스템과 선진재난 관리매뉴얼,4.4932,4.4595,4.4865,4.5135,4.5135
918위,5월1주차,중견리더 과정(11주차),헌법,4.492,4.4868,4.5658,4.4737,4.4416
919위,4월4주차,중견리더 과정(10주차),유럽에서 아시아를 만나다,4.4903,4.4935,4.5065,4.4675,4.4935
919위,3월5주차,중견리더 과정(6주차),트렌드 코리아 2025,4.4903,4.4675,4.5325,4.4935,4.4675
921위,4월3주차,신규 임용(후보)자 과정(3주차),법령체계와 법령해석 방법론,4.4881,4.5476,4.5714,4.3095,4.5238
922위,3월4주차,중견리더 과정(5주차),최신개정 교통법규,4.4875,4.45,4.5,4.475,4.525
923위,7월3주차,중견리더 과정(22주차),소통리더십Ⅰ,4.4862,4.4688,4.5313,4.4688,4.4762
924위,5월5주차,기후위기 적응·대응 과정,기후위기 대응 국내외 동향,4.4861,4.5,4.5,4.4444,4.5
925위,2월5주차,중견리더 과정(2주차),DISC를 통한 조직 효율성 제고,4.4852,4.4819,4.4824,4.4588,4.5176
926위,4월1주차,중견리더 과정(7주차),영어,4.4833,4.4667,4.5333,4.4667,4.4667
927위,5월1주차,7·8급 승진자 역량향상 과정,보고서 작성 실무,4.4828,4.4828,4.4483,4.4483,4.5517
928위,2월4주차,특별사법경찰 수사실무 과정,분야별 수사실무 사례,4.4821,4.2143,4.5714,4.5,4.6429
929위,5월3주차,중견리더 과정(13주차),일본어,4.4808,4.4615,4.5385,4.4615,4.4615
929위,3월5주차,중견리더 과정(6주차),영어,4.4808,4.3846,4.5385,4.5,4.5
931위,5월2주차,중견리더 과정(12주차),헌법,4.4798,4.5,4.5147,4.4118,4.4925
932위,3월2주차,전입공무원 역량향상 과정,조직적응을 위한 소통과 대화의 기술,4.4791,4.4483,4.3793,4.5172,4.5714
933위,6월2주차,신규공무원 역량향상 심화 과정,법률(규정) 해석,4.4783,4.4783,4.5217,4.4348,4.4783
934위,4월2주차,신규 임용(후보)자 과정(2주차),디지털·미래대응 교육 이해 및 실습,4.4767,4.4884,4.4884,4.4419,4.4884
935위,4월3주차,중견리더 과정(9주차),헌법,4.4764,4.473,4.527,4.4595,4.4459
936위,3월3주차,신규공무원 역량향상 심화 과정,홍보템플릿 실무,4.4762,4.4762,4.4762,4.4762,4.4762
937위,6월1주차,중견리더 과정(16주차),정책소통 및 온오프라인 홍보,4.4762,4.4706,4.5072,4.4493,4.4776
938위,4월3주차,중견리더 과정(9주차),탁구,4.475,4.5,4.5,4.5,4.4
938위,4월4주차,지역특화 관광콘텐츠 개발 과정,기후변화와 관광산업,4.475,4.5,4.4,4.5,4.5
940위,4월1주차,중견리더 과정(7주차),헌법,4.4745,4.4605,4.525,4.4568,4.4557
941위,3월5주차,기획능력 향상 과정,직장인을 위한 스트레칭,4.4688,4.5,4.5,4.5,4.375
942위,7월1주차,중견리더 과정(20주차),MBTI 조직 커뮤니케이션 역량강화,4.4659,4.4697,4.5,4.4394,4.4545
943위,3월3주차,중견리더 과정(4주차),정리수납,4.4621,4.4242,4.5455,4.4545,4.4242
944위,5월1주차,중견리더 과정(11주차),영어,4.4615,4.4615,4.4615,4.4615,4.4615
944위,5월4주차,중견리더 과정(14주차),영어,4.4615,4.5385,4.4615,4.3846,4.4615
946위,4월2주차,중견리더 과정(8주차),정리수납,4.46,4.44,4.48,4.48,4.44
947위,5월3주차,재난관리 실무 과정,경남도의 재난안전 역량수준 및 역량강화 방안,4.4595,4.5135,4.4865,4.4054,4.4324
948위,3월3주차,신규 임용(후보)자 과정(2주차),경남의 비전과 주요정책,4.4593,4.4535,4.4884,4.3256,4.5698
949위,5월4주차,중견리더 과정(14주차),스토리텔링의 이해,4.4593,4.4507,4.4789,4.4286,4.4789
950위,5월5주차,기후위기 적응·대응 과정,경남도의 기후위기 대응 정책,4.4583,4.2778,4.5,4.5,4.5556
951위,7월4주차,7·8급 승진자 역량향상 과정,보고서 작성 실무,4.4583,4.4583,4.4583,4.4583,4.4583
952위,4월4주차,중견리더 과정(10주차),감정테라피,4.4583,4.4267,4.4933,4.4267,4.4865
953위,3월3주차,신규공무원 역량향상 심화 과정,예산실무,4.458,4.4615,4.4815,4.3704,4.5185
954위,3월2주차,중견리더 과정(3주차),공무원 연금의 이해,4.4548,4.5316,4.4875,4.35,4.45
955위,3월4주차,토목실무 과정,건설공사 품질시험 및 자재 검수 요령,4.4545,4.4091,4.5,4.3636,4.5455
955위,5월4주차,홍보실무 과정,스토리텔링 홍보전략,4.4545,4.6364,4.2727,4.6364,4.2727
957위,2월5주차,7·8급 승진자 역량향상 과정,엑셀 활용 팁,4.4545,4.4091,4.5455,4.4091,4.4545
957위,4월2주차,중견리더 과정(8주차),테니스,4.4545,4.4545,4.4545,4.4545,4.4545
959위,6월1주차,중대재해 예방 실무 과정,"시민재해분야(의무사항, 사례분석)",4.4537,4.4578,4.4881,4.4167,4.4524
960위,4월4주차,중견리더 과정(10주차),영화로 만나는 역사,4.4533,4.4533,4.4667,4.4267,4.4667
961위,7월3주차,산림정책실무 과정,임도 및 사방사업 실무,4.4531,4.5625,4.5625,4.1875,4.5
962위,4월3주차,중견리더 과정(9주차),필라테스,4.4519,4.5,4.5,4.3462,4.4615
963위,4월4주차,시·군 팀장 리더십 과정,국내 우주항공산업 전망과 경남의 미래,4.45,4.4,4.5,4.5,4.4
963위,4월4주차,신규공무원 역량향상 심화 과정,계약실무,4.45,4.46,4.5,4.39,4.45
965위,5월3주차,중견리더 과정(13주차),분임토의,4.4464,4.5,4.4286,4.4286,4.4286
966위,6월1주차,중대재해 예방 실무 과정,"중대재해 처벌법의 이해·정의, 필요성, 법령해석",4.4441,4.4235,4.4471,4.4235,4.4824
967위,3월4주차,중견리더 과정(5주차),영어,4.4412,4.4118,4.4706,4.4118,4.4706
968위,7월3주차,신규 임용(후보)자 과정(2주차),독도를 통한 올바른 역사인식,4.4401,4.4648,4.4648,4.338,4.493
969위,6월3주차,중견리더 과정(18주차),김장하 선생에게 배우는 실천과 나눔의 미학,4.4389,4.4667,4.4667,4.3778,4.4444
970위,6월1주차,중대재해 예방 실무 과정,산업재해분야(안전사고 예방교육 등 의무사항),4.4388,4.4405,4.4458,4.3929,4.4762
971위,4월4주차,신규공무원 역량향상 심화 과정,공사감독 및 현장점검 요령,4.4375,4.45,4.45,4.35,4.5
972위,6월1주차,"스마트 경남, 스마트 시티 과정",스마트시티 도시계획,4.4354,4.4286,4.5,4.4286,4.3846
973위,2월5주차,7·8급 승진자 역량향상 과정,보고서 작성 실무,4.4348,4.4783,4.4783,4.3913,4.3913
974위,7월2주차,6급 승진자 역량향상 과정,역량개발 이해,4.4342,4.4737,4.4737,4.3158,4.4737
974위,7월2주차,6급 승진자 역량향상 과정,역량에 대한 이해 모의과제:역할연기,4.4342,4.3684,4.4737,4.3684,4.5263
974위,5월4주차,중견리더 과정(14주차),헌법,4.4342,4.4474,4.4737,4.3816,4.4342
977위,7월1주차,중견리더 과정(20주차),회복탄력성,4.4336,4.4531,4.4531,4.3906,4.4375
978위,3월2주차,신규 임용(후보)자 과정(1주차),세대공감 및 민원응대 역할연기(평가 및 공유),4.4318,4.4205,4.4432,4.4091,4.4545
978위,6월2주차,신규공무원 역량향상 심화 과정,계약실무,4.4318,4.4091,4.5,4.3182,4.5
980위,3월5주차,재난관리 실무 과정,소통을 위한 대화기술 및 공감기법,4.4315,4.3871,4.3871,4.4516,4.5
981위,3월2주차,신규 임용(후보)자 과정(1주차),세대공감 및 민원응대 역할연기(상황훈련 및 리허설),4.431,4.4607,4.427,4.4045,4.4318
982위,7월2주차,중견리더 과정(21주차),개인정보 보호의 이해,4.4291,4.4516,4.4032,4.4262,4.4355
983위,4월2주차,중견리더 과정(8주차),사진,4.4274,4.4516,4.4516,4.3871,4.4194
984위,6월4주차,중견리더 과정(19주차),경남형 통합돌봄 개념과 정책의 이해,4.4271,4.4286,4.3889,4.4545,4.4364
985위,5월4주차,중견리더 과정(14주차),스토리텔링 기획,4.4271,4.4167,4.4444,4.4306,4.4167
986위,6월2주차,중견리더 과정(17주차),인문학과 통찰력,4.4261,4.4189,4.44,4.4267,4.4189
987위,3월3주차,중견리더 과정(4주차),영어,4.426,4.4375,4.4667,4.4,4.4
988위,6월4주차,중견리더 과정(19주차),국가 균형발전 우수사례,4.4255,4.4286,4.4082,4.4694,4.3958
989위,7월3주차,경남의 미래산업과 일자리 과정,일자리와 조직문화,4.425,4.4,4.4,4.4,4.5
989위,7월3주차,경남의 미래산업과 일자리 과정,사회적 경제기반 일자리 창출,4.425,4.4,4.5,4.4,4.4
991위,3월5주차,중견리더 과정(6주차),국내외 우주산업 동향과 전망,4.423,4.4,4.4875,4.4375,4.3671
992위,3월5주차,재난관리 실무 과정,경남도의 재난안전 역량수준 및 역량강화 방안,4.4226,4.4194,4.4839,4.3871,4.4
993위,5월4주차,중견리더 과정(14주차),프랑스 노르망디 인문학 여행,4.4211,4.4211,4.4211,4.4211,4.4211
994위,3월4주차,토목실무 과정,토목의 이해,4.4205,4.5,4.5,4.1818,4.5
995위,7월4주차,신규 임용(후보)자 과정(3주차),청탁금지법의 이해,4.4193,4.4143,4.4143,4.4058,4.4429
996위,3월5주차,중견리더 과정(6주차),적극행정,4.4193,4.3947,4.4474,4.3816,4.4533
997위,7월2주차,경남의 복지 과정,복지정책의 이해,4.419,4.5714,4.5714,4.0714,4.4615
998위,7월2주차,6급 승진자 역량향상 과정,생성형 AI의 직무적용,4.4174,4.4211,4.4444,4.3333,4.4706
999위,3월2주차,중견리더 과정(3주차),만성질환 예방,4.4172,4.3797,4.443,4.4304,4.4156
1000위,4월2주차,신규 임용(후보)자 과정(2주차),현장학습(도정과제 연계),4.4167,4.4524,4.4286,4.4048,4.381
1000위,4월2주차,중견리더 과정(8주차),통기타,4.4167,4.4167,4.4167,4.4167,4.4167
1002위,4월1주차,중견리더 과정(7주차),라탄공예,4.4167,4.3333,4.3333,4.5556,4.4444
1003위,4월4주차,저수지·댐 안전관리,소통을 위한 대화기술 및 공감기법,4.4138,4.4138,4.3103,4.4483,4.4828
1004위,7월3주차,신규 임용(후보)자 과정(2주차),일반서무 업무 알아보기,4.4128,4.4,4.4203,4.3944,4.4366
1005위,4월4주차,시·군 팀장 리더십 과정,[모의과제 실습] 역할수행,4.4125,4.4,4.3,4.5,4.45
1006위,4월1주차,신규공무원 역량향상 심화 과정,홍보템플릿 실무,4.4101,4.4737,4.3889,4.3333,4.4444
1007위,4월4주차,신규공무원 역량향상 심화 과정,보조금 실무,4.41,4.43,4.45,4.41,4.35
1007위,4월4주차,신규공무원 역량향상 심화 과정,행사실무,4.41,4.36,4.32,4.46,4.5
