교육과정,기수,교육주차,교육일자,과정유형,교육장소,교육인원,전반만족도,역량향상도,현업적용도,교과편성,강사강의 만족도,종합만족도,순위
소통과 공감 과정,4,2024년 7월 3주차,2024.7.18.~7.19.,기본(기본),현장캠퍼스,11,5,5,5,5,5,4.97,1
소통과 공감 과정,6,2024년 8월 5주차,2024.8.29.~8.30.,기본(기본),현장캠퍼스,16,4.94,4.94,4.94,5,4.93,4.959,2
소통과 공감 과정,10,2024년 11월 5주차,2024.11.28.~11.29.,기본(기본),현장캠퍼스,17,4.94,4.82,4.88,4.76,4.92,4.914,3
승마 과정,2,2024년 11월 2주차,2024.11.6.~11.8.,직무(인문·소양),현장캠퍼스,20,4.83,4.83,4.72,4.83,4.89,4.882,4
면접관 양성 과정,1,2024년 7월 1주차,2024.7.3.~7.5.,직무(공통),인재개발원,12,4.91,4.82,4.73,5,4.98,4.874,5
소통과 공감 과정,1,2024년 3월 3주차,2024.3.21.~3.22.,기본(기본),현장캠퍼스,13,4.92,4.85,4.85,4.85,4.84,4.849,6
강사양성 과정,1,2024년 4월 4주차,2024.4.24.~4.26.,직무(공통),인재개발원,8,5,5,4.88,5,4.99,4.846,7
코칭 리더십 과정,1,2024년 6월 3주차,2024.6.19.~6.20.,기본(리더십),현장캠퍼스,10,4.9,4.9,4.9,4.9,4.9,4.842,8
드론 이해 및 행정 활용 과정,2,2024년 5월 5주차,2024.5.29.~5.31.,핵심(디지털),현장캠퍼스,17,4.88,4.88,4.76,4.88,4.86,4.823,9
소통과 공감 과정,2,2024년 4월 4주차,2024.4.25.~4.26.,기본(기본),현장캠퍼스,18,4.72,4.72,4.78,4.78,4.93,4.813,10
1인 방송과 영상제작 과정,2,2024년 11월 4주차,2024.11.20.~11.22.,핵심(디지털),인재개발원,27,4.92,4.85,4.65,4.77,4.92,4.812,11
지리산 천왕봉 힐링 과정,1,2024년 5월 2주차,2024.5.8.~5.10.,직무(인문·소양),현장캠퍼스,36,4.86,4.77,4.71,4.8,4.75,4.806,12
업무용 오피스 활용 과정,1,2024년 3월 2주차,2024.3.13.~3.15.,핵심(디지털),인재개발원,28,4.86,4.79,4.82,4.75,4.95,4.804,13
한글 활용 과정,1,2024년 4월 2주차,2024.4.12.,핵심(디지털),인재개발원,29,4.86,4.75,4.75,4.82,4.91,4.804,14
자치경찰제도 이해 과정,1,2024년 4월 1주차,2024.4.5.,직무(전문),현장캠퍼스,17,4.94,4.94,4.81,4.88,4.8,4.802,15
소통과 공감 과정,9,2024년 10월 5주차,2024.10.31.~11.1.,기본(기본),현장캠퍼스,17,4.82,4.59,4.76,4.82,4.94,4.797,16
과장급 필수 역량향상 과정,2,2024년 7월 2주차,2024.7.9.~7.12.,기본(리더십),인재개발원,11,4.64,4.91,4.91,4.91,4.77,4.795,17
동서화합 문화관광 탐방 과정,2,2024년 10월 4주차,2024.10.23.~10.25.,직무(인문·소양),인재개발원,27,4.74,4.83,4.7,4.78,4.795,4.795,18
스마트기기 활용 과정,2,2024년 6월 3주차,2024.6.19.~6.21.,핵심(디지털),인재개발원,27,4.74,4.81,4.81,4.78,4.88,4.789,19
한글 활용 과정,2,2024년 9월 3주차,2024.9.20.,핵심(디지털),인재개발원,30,4.79,4.75,4.82,4.82,4.88,4.788,20
승마 과정,1,2024년 9월 4주차,2024.9.25.~9.27.,직무(인문·소양),현장캠퍼스,18,5,4.89,4.61,4.89,4.98,4.785,21
스마트기기 활용 과정,1,2024년 4월 3주차,2024.4.17.~4.19.,핵심(디지털),인재개발원,29,4.79,4.75,4.82,4.82,4.85,4.774,22
감사업무 향상 과정,1,2024년 9월 3주차,2024.9.20.,직무(공통),인재개발원,36,4.91,4.84,4.84,4.84,4.92,4.757,23
인생 2모작 준비 과정,2,2024년 12월 1주차,2024.12.4.~12.6.,직무(인문·소양),인재개발원,33,4.74,4.84,4.77,4.71,4.68,4.75,24
문화유산 이해 과정,1,2024년 3월 4주차,2024.3.27.~3.29.,직무(인문·소양),현장캠퍼스,30,4.74,4.81,4.56,4.78,4.748,4.748,25
과장급 필수 역량향상 과정,3,2024년 9월 2주차,2024.9.10.~9.13.,기본(리더십),인재개발원,15,4.87,4.8,4.73,4.8,4.77,4.74,26
업무용 오피스 활용 과정,4,2024년 10월 3주차,2024.10.16.~10.18.,핵심(디지털),인재개발원,27,4.88,4.81,4.81,4.73,4.84,4.723,27
교육담당자 역량향상 과정,1,2024년 2월 3주차,2024.2.9.~2.10.,직무(전문),인재개발원,18,4.5,4.67,4.61,4.67,4.81,4.722,28
1인 방송과 영상제작 과정,1,2024년 7월 1주차,2024.7.3.~7.5.,핵심(디지털),인재개발원,22,4.82,4.82,4.68,4.77,4.82,4.716,29
시·군 팀장 리더십 과정,5,2024년 7월 4주차,2024.7.24.~7.26.,기본(리더십),현장캠퍼스,16,4.75,4.75,4.62,4.69,4.66,4.716,30
업무용 오피스 활용 과정,2,2024년 5월 1주차,2024.5.1.~5.3.,핵심(디지털),인재개발원,27,4.85,4.69,4.65,4.65,4.85,4.712,31
명품 스피치 과정,2,2024년 11월 5주차,2024.11.27.~11.29.,직무(공통),인재개발원,17,4.94,4.75,4.75,4.69,4.75,4.697,32
식품 위생감시원 직무교육 과정,2,2024년 8월 5주차,2024.8.26.,직무(전문),인재개발원,32,4.81,4.74,4.74,4.78,4.82,4.695,33
특별사법경찰 수사실무 과정,1,2024년 2월 4주차,2024.2.19.~2.21.,직무(전문),인재개발원,19,4.79,4.79,4.74,4.68,4.77,4.695,34
미래설계 과정,2,2024년 6월 3주차,2024.6.10.~6.21.,직무(인문·소양),인재개발원,26,4.82,4.67,4.59,4.68,4.76,4.69,35
스마트기기 활용 과정,3,2024년 10월 5주차,2024.10.30.~11.1,핵심(디지털),인재개발원,26,4.65,4.65,4.62,4.69,4.77,4.689,36
홍보실무 과정,2,2024년 10월 3주차,2024.10.17.~10.18.,직무(공통),인재개발원,15,4.73,4.67,4.67,4.67,4.68,4.684,37
승강기 업무담당자 안전관리 과정,1,2024년 9월 4주차,2024.9.25.~9.27.,직무(전문),현장캠퍼스,14,4.69,4.69,4.54,4.62,4.76,4.679,38
경남의 섬 과정,1,2024년 4월 3주차,2024.4.16.~4.19.,직무(인문·소양),인재개발원,39,4.63,4.74,4.72,4.66,4.62,4.679,39
파워포인트 활용 과정,2,2024년 10월 4주차,2024.10.25.,핵심(디지털),인재개발원,18,4.6,4.67,4.73,4.73,4.76,4.678,40
시·군 팀장 역량향상 과정,1,2024년 4월 3주차,2024.4.17.~4.19.,기본(리더십),현장캠퍼스,14,4.86,4.79,4.64,4.57,4.85,4.678,41
미래설계 과정,1,2024년 3월 3주차,2024.3.11.~3.22.,직무(인문·소양),인재개발원,34,4.74,4.81,4.68,4.65,4.6,4.677,42
소통과 공감 과정,8,2024년 10월 4주차,2024.10.24.~10.25.,기본(기본),현장캠퍼스,21,4.68,4.63,4.63,4.63,4.7,4.676,43
소통과 공감 과정,7,2024년 10월 2주차,2024.10.10.~10.11.,기본(기본),현장캠퍼스,11,4.6,4.6,4.7,4.7,4.86,4.672,44
인포그래픽 활용 과정,1,2024년 12월 1주차,2024.12.5.~12.6.,핵심(디지털),인재개발원,30,4.61,4.57,4.75,4.71,4.73,4.668,45
파워포인트 활용(초급) 과정,1,2024년 6월 4주차,2024.6.28.,핵심(디지털),인재개발원,28,4.59,4.75,4.64,4.64,4.81,4.659,46
명품 스피치 과정,3,2024년 12월 3주차,2024.12.16.~12.18.,직무(공통),인재개발원,22,4.74,4.74,4.68,4.79,4.69,4.659,47
산림정책 실무 과정,1,2024년 7월 3주차,2024.7.17.~7.19.,직무(전문),인재개발원,13,4.73,4.73,4.64,4.64,4.71,4.651,48
소통과 공감 과정,5,2024년 8월 1주차,2024.8.1.~8.2.,기본(기본),현장캠퍼스,12,4.64,4.55,4.55,4.55,4.64,4.64,49
트라이포트와 물류산업 과정,1,2024년 7월 2주차,2024.7.10.~7.12.,핵심(핵심과제),인재개발원,8,4.88,4.63,4.75,4.5,4.52,4.638,50
성별영향평가 과정,1,2024년 4월 2주차,2024.4.11.~4.12.,직무(전문),인재개발원,17,4.67,4.6,4.8,4.6,4.81,4.62,51
지리산 천왕봉 힐링 과정,2,2024년 10월 5주차,2024.10.30.~11.1.,직무(인문·소양),현장캠퍼스,37,4.74,4.56,4.5,4.68,4.67,4.619,52
7·8급 승진자 역량향상 과정,3,2024년 6월 4주차,2024.6.25.~6.28.,기본(기본),인재개발원,23,4.64,4.64,4.64,4.55,4.75,4.618,53
경남 일자리 과정,2,2024년 10월 2주차,2024.10.7.~10.8.,핵심(핵심과제),인재개발원,9,4.62,4.75,4.5,4.75,4.66,4.617,54
과장급 필수 역량향상 과정,1,2024년 4월 1주차,2024.4.2.~4.5.,기본(리더십),인재개발원,18,4.78,4.83,4.61,4.56,4.78,4.616,55
미래설계 과정,4,2024년 11월 4주차,2024.11.11.~11.22.,직무(인문·소양),인재개발원,33,4.78,4.55,4.61,4.52,4.59,4.614,56
정수장 관리 실무 과정,1,2024년 10월 2주차,2024.10.10.~10.11.,직무(전문),인재개발원,12,4.78,4.67,4.78,4.56,4.69,4.612,57
가야사 바로알기 과정,3,2024년 10월 5주차,2024.10.30.~11.1.,직무(인문·소양),인재개발원,30,4.7,4.63,4.48,4.67,4.7,4.611,58
신규공무원 역량향상 심화 과정,3,2024년 5월 2주차,2024.5.8.~5.10.,기본(기본),인재개발원,34,4.5,4.62,4.65,4.62,4.59,4.611,59
행사실무 과정,2,2024년 8월 5주차,2024.8.29.~8.30.,직무(공통),인재개발원,22,4.73,4.68,4.73,4.68,4.68,4.608,60
항노화산업 탐방 과정,1,2024년 5월 4주차,2024.5.22.~5.24.,직무(인문·소양),인재개발원,34,4.71,4.62,4.44,4.62,4.58,4.603,61
경남 바로알기 과정,1,2024년 3월 1주차,2024.3.6.~3.8.,핵심(핵심과제),인재개발원,31,4.69,4.69,4.52,4.72,4.56,4.603,62
소통과 공감 과정,3,2024년 7월 1주차,2024.7.4.~7.5.,기본(기본),현장캠퍼스,14,4.58,4.58,4.58,4.58,4.58,4.603,63
재난관리 실무 과정,4,2024년 9월 4주차,2024.9.25.~9.27.,직무(전문),인재개발원,25,4.7,4.6,4.55,4.4,4.67,4.602,64
항노화산업 탐방 과정,2,2024년 10월 3주차,2024.10.15.~10.17.,직무(인문·소양),인재개발원,25,4.79,4.67,4.58,4.71,4.17,4.595,65
업무용 오피스 활용 과정,3,2024년 9월 2주차,2024.9.11.~9.13.,핵심(디지털),인재개발원,25,4.73,4.59,4.64,4.59,4.63,4.591,66
명품 스피치 과정,1,2024년 5월 1주차,2024.5.1.~5.3.,직무(공통),인재개발원,19,4.78,4.67,4.61,4.61,4.61,4.59,67
시·군 팀장 리더십 과정,2,2024년 4월 1주차,2024.4.3.~4.5.,기본(리더십),현장캠퍼스,16,4.56,4.56,4.56,4.56,4.67,4.59,68
스트레스 치유 과정,1,2024년 7월 1주차,2024.7.3.~7.5.,직무(인문·소양),인재개발원,28,4.69,4.54,4.46,4.5,4.55,4.589,69
재난관리 실무 과정,2,2024년 5월 4주차,2024.5.22.~5.24.,직무(전문),인재개발원,31,4.61,4.48,4.55,4.52,4.63,4.584,70
경남 바로알기 과정,2,2024년 12월 2주차,2024.12.11.~12.13.,핵심(핵심과제),인재개발원,28,4.64,4.64,4.52,4.48,4.54,4.574,71
7·8급 승진자 역량향상 과정,2,2024년 4월 3주차,2024.4.16.~4.19.,기본(기본),인재개발원,25,4.62,4.33,4.38,4.38,4.73,4.573,72
드론 이해 및 행정 활용 과정,1,2024년 3월 4주차,2024.3.27.~3.29.,핵심(디지털),현장캠퍼스,17,4.71,4.59,4.44,4.59,4.63,4.571,73
엑셀활용(초급)과정,1,2024년 3월 3주차,2024.3.22.,핵심(디지털),인재개발원,29,4.57,4.64,4.64,4.61,4.74,4.57,74
빅데이터 분석과 행정활용 과정,1,2024년 7월 4주차,2024.7.24.~7.26.,핵심(디지털),인재개발원,11,4.7,4.45,4.36,4.64,4.66,4.567,75
시·군 팀장 역량향상 과정,2,2024년 6월 2주차,2024.6.12.~6.14.,기본(리더십),현장캠퍼스,15,4.73,4.6,4.47,4.47,4.6,4.567,76
드론 이해 및 행정 활용 과정,3,2024년 9월 1주차,2024.9.4.~9.6.,핵심(디지털),현장캠퍼스,20,4.55,4.65,4.68,4.6,4.6,4.553,77
경남 일자리 과정,1,2024년 7월 2주차,2024.7.11.~7.12.,핵심(핵심과제),인재개발원,7,4.57,4.57,4.29,4.43,4.75,4.552,78
시·군 팀장 리더십 과정,7,2024년 12월 2주차,2024.12.11.~12.13.,기본(리더십),현장캠퍼스,21,4.67,4.5,4.44,4.5,4.66,4.55,79
가야사 바로알기 과정,1,2024년 4월 1주차,2024.4.3.~4.5.,직무(인문·소양),인재개발원,32,4.69,4.69,4.45,4.62,4.64,4.55,80
디자인 플랫폼 활용 과정,2,2024년 11월 3주차,2024.11.5.,핵심(디지털),인재개발원,30,4.52,4.52,4.44,4.48,4.8,4.545,81
4차 산업혁명과 AI 활용 과정,2,2024년 9월 4주차,2024.9.25.~9.27.,핵심(디지털),인재개발원,28,4.65,4.58,4.5,4.42,4.58,4.539,82
신규공무원 역량향상 심화 과정,1,2024년 3월 2주차,2024.3.13.~3.15.,기본(기본),인재개발원,32,4.53,4.47,4.59,4.56,4.62,4.538,83
기후위기 적응 대응 과정,2,2024년 10월 4주차,2024.10.24.~10.25.,핵심(핵심과제),인재개발원,12,4.5,4.58,4.5,4.5,4.66,4.524,84
인생 2모작 준비 과정,1,2024년 7월 3주차,2024.7.17.~7.19.,직무(인문·소양),인재개발원,25,4.64,4.68,4.4,4.64,4.57,4.521,85
전입공무원 역량향상 과정,1,2024년 9월 3주차,2024.9.19.~9.20.,기본(기본),인재개발원,44,4.6,4.53,4.53,4.53,4.63,4.517,86
경남의 섬 과정,3,2024년 10월 3주차,2024.10.15.~10.18.,직무(인문·소양),인재개발원,40,4.56,4.53,4.42,4.5,4.49,4.515,87
기획능력 향상 과정,1,2024년 3월 4주차,2024.3.27.~3.29.,직무(공통),인재개발원,18,4.59,4.76,4.71,4.59,4.52,4.514,88
시·군 팀장 리더십 과정,1,2024년 3월 1주차,2024.3.6.~3.8.,기본(리더십),현장캠퍼스,15,4.67,4.53,4.53,4.6,4.56,4.513,89
[교류] 동서화합 문화관광 탐방 과정,1,2024년 5월 1주차,2024.5.1.~5.3.,직무(인문·소양),현장캠퍼스,33,4.52,4.44,4.37,4.513,4.513,4.513,90
경남의 섬 과정,2,2024년 5월 5주차,2024.5.28.~5.31.,직무(인문·소양),인재개발원,37,4.64,4.61,4.47,4.44,4.57,4.51,91
신규공무원 역량향상 심화 과정,7,2024년 10월 3주차,2024.10.16.~10.18.,기본(기본),인재개발원,33,4.59,4.53,4.53,4.5,4.58,4.508,92
재난관리 실무 과정,3,2024년 7월 1주차,2024.7.3.~7.5.,직무(전문),인재개발원,12,4.5,4.5,4.25,4.5,4.7,4.503,93
신규공무원 역량향상 심화 과정,8,2024년 11월 2주차,2024.11.6.~11.8.,기본(기본),인재개발원,36,4.47,4.5,4.5,4.44,4.5,4.5,94
신규공무원 역량향상 심화 과정,6,2024년 9월 4주차,2024.9.25.~9.27.,기본(기본),인재개발원,34,4.48,4.52,4.45,4.55,4.56,4.495,95
미래설계 과정,3,2024년 9월 2주차,2024.9.2.~9.13.,직무(인문·소양),인재개발원,67,4.56,4.57,4.33,4.46,4.52,4.493,96
공직자 이해충돌 방지 과정,1,2024년 5월 3주차,2024.5.17.,기본(기본),온라인,34,4.48,4.48,4.58,4.52,4.51,4.492,97
지방의회 공무원 실무역량 향상 과정,2,2024년 8월 5주차,2024.8.26.~8.28.,직무(전문),인재개발원,14,4.71,4.57,4.57,4.5,4.59,4.488,98
시·군 팀장 역량향상 과정,3,2024년 11월 2주차,2024.11.6.~11.8.,기본(리더십),현장캠퍼스,18,4.44,4.44,4.56,4.56,4.77,4.482,99
시·군 팀장 리더십 과정,4,2024년 5월 4주차,2024.5.22.~5.24.,기본(리더십),현장캠퍼스,25,4.56,4.52,4.52,4.4,4.48,4.474,100
기간제 근로자 관리자 과정,1,2024년 3월 1주차,2024.3.6.~3.8.,직무(전문),인재개발원,16,4.47,4.47,4.6,4.13,4.56,4.468,101
기획능력 향상 과정,3,2024년 12월 2주차,2024.12.11.~12.13.,직무(공통),인재개발원,25,4.48,4.48,4.56,4.48,4.49,4.468,102
시·군 팀장 리더십 과정,3,2024년 4월 4주차,2024.4.24.~4.26.,기본(리더십),현장캠퍼스,16,4.69,4.38,4.38,4.38,4.74,4.468,103
시·군 팀장 역량향상 과정,4,2024년 10월 5주차,2024.10.28.~10.30.,기본(리더십),현장캠퍼스,18,4.5,4.6,4.6,4.5,4.6,4.467,104
5급 관리자 리더십 과정,2,2024년 8월 5주차,2024.8.28.~8.30.,기본(리더십),인재개발원,19,4.58,4.47,4.37,4.53,4.71,4.464,105
신규 임용(후보)자 과정,3,2024년 5월 1주차,2024.4.15.~5.3.,기본(기본),인재개발원,88,4.49,4.38,4.38,4.43,4.53,4.461,106
신규 임용(후보)자 과정,4,2024년 5월 5주차,2024.5.13.~5.31.,기본(기본),인재개발원,87,4.53,4.46,4.34,4.41,4.55,4.461,107
엑셀활용(중급) 과정,2,2024년 7월 3주차,2024.7.19.,핵심(디지털),인재개발원,27,4.46,4.58,4.58,4.58,4.57,4.46,108
투자유치 활성화 과정,1,2024년 5월 1주차,2024.5.1.~5.3.,핵심(핵심과제),인재개발원,18,4.5,4.38,4.31,4.5,4.58,4.459,109
스마트기기 활용 과정,4,2024년 12월 2주차,2024.12.11.~12.13.,핵심(디지털),인재개발원,26,4.42,4.27,4.23,4.54,4.53,4.457,110
5급 관리자 리더십 과정,1,2024년 5월 1주차,2024.5.1.~5.3.,기본(리더십),인재개발원,15,4.27,4.47,4.4,4.47,4.55,4.454,111
문화유산 이해 과정,2,2024년 4월 4주차,2024.4.24.~4.26.,직무(인문·소양),현장캠퍼스,31,4.48,4.42,4.29,4.45,4.19,4.453,112
지방세 실무 과정,1,2024년 2월 5주차,2024.2.27.~2.29.,직무(전문),인재개발원,20,4.68,4.37,4.47,4.42,4.48,4.453,113
예산회계 실무 과정,1,2024년 3월 3주차,2024.3.20.~3.22.,직무(공통),인재개발원,24,4.46,4.5,4.58,4.46,4.48,4.45,114
공공언어 바르게 쓰기 과정,1,2024년 7월 2주차,2024.7.10.~7.12.,직무(공통),인재개발원,18,4.35,4.41,4.59,4.24,4.52,4.448,115
신규공무원 역량향상 심화 과정,4,2024년 6월 4주차,2024.6.26.~6.28.,기본(기본),인재개발원,29,4.41,4.37,4.41,4.44,4.53,4.447,116
토목실무 과정,1,2024년 5월 2주차,2024.5.8.~5.10.,직무(전문),인재개발원,25,4.54,4.42,4.38,4.5,4.47,4.443,117
6급 승진자 역량향상 과정,3,2024년 9월 1주차,2024.9.3.~9.6.,기본(기본),인재개발원,17,4.41,4.24,4.41,4.47,4.42,4.43,118
신규공무원 역량향상 심화 과정,2,2024년 4월 3주차,2024.4.17.~4.19.,기본(기본),인재개발원,33,4.45,4.39,4.45,4.42,4.49,4.423,119
6급 승진자 역량향상 과정,1,2024년 3월 4주차,2024.3.26.~3.29.,기본(기본),인재개발원,19,4.56,4.39,4.39,4.33,4.31,4.422,120
신규 임용(후보)자 과정,9,2024년 10월 5주차,2024.10.14.~11.1.,기본(기본),인재개발원,259,4.46,4.44,4.37,4.44,4.54,4.422,121
신규 임용(후보)자 과정,8,2024년 10월 2주차,2024.9.23.~10.11.,기본(기본),인재개발원,66,4.42,4.4,4.37,4.42,4.46,4.418,122
공직자 이해충돌 방지 과정,2,2024년 10월 2주차,2024.10.8.,기본(기본),온라인,16,4.33,4.33,4.33,4.47,4.66,4.418,123
홍보실무 과정,1,2024년 5월 4주차,2024.5.23.~5.24.,직무(공통),인재개발원,24,4.22,4.35,4.35,4.35,4.54,4.416,124
우주항공산업과 UAM 과정,1,2024년 9월 1주차,2024.9.4.~9.6.,핵심(핵심과제),인재개발원,21,4.33,4.43,4.24,4.43,4.39,4.411,125
MICE사업 유치 역량강화 과정,1,2024년 6월 3주차,2024.6.19.~6.21.,핵심(핵심과제),인재개발원,20,4.47,4.41,4.35,4.29,4.49,4.411,126
6급 승진자 역량향상 과정,2,2024년 5월 4주차,2024.5.21.~5.24.,기본(기본),인재개발원,14,4.55,4.36,4.36,4.36,4.23,4.401,127
계약실무 과정,1,2024년 3월 2주차,2024.3.12.~3.14.,직무(공통),인재개발원,19,4.39,4.56,4.5,4.5,4.76,4.401,128
지속가능발전목표 이행 과정,1,2024년 5월 5주차,2024.5.29.~5.31.,직무(전문),인재개발원,16,4.56,4.38,4.44,4.31,4.52,4.397,129
신규 임용(후보)자 과정,11,2024년 12월 2주차,2024.11.25.~12.13.,기본(기본),인재개발원,234,4.45,4.35,4.33,4.38,4.56,4.396,130
행사실무 과정,1,2024년 4월 1주차,2024.4.4.~4.5.,직무(공통),인재개발원,21,4.43,4.48,4.48,4.57,4.44,4.389,131
지역특화 관광 콘텐츠 개발 과정,1,2024년 4월 4주차,2024.4.24.~4.26.,핵심(핵심과제),인재개발원,16,4.4,4.53,4.4,4.2,4.42,4.381,132
신규 임용(후보)자 과정,2,2024년 4월 1주차,2024.3.18.~4.5.,기본(기본),인재개발원,89,4.39,4.36,4.37,4.3,4.43,4.379,133
보조금 단체 회계실무 과정,2,2024년 4월 1주차,2024.4.2.,핵심(도민역량),현장캠퍼스,36,4.3,4.37,4.37,4.41,4.58,4.37,134
